,date,cases_new,state_id,cases_recovered,cases_death,cases_active,checkins,unique_ind,cumul_full,pop,percent_vax,temp
3998,2021-10-31,8,16,3,0,50,86295,33516,78436,99600,0.79,27.8
3999,2021-10-31,33,17,21,0,425,297542,181770,140439,110000,1.28,27.7
4000,2021-11-01,408,2,542,6,7178,3371716,1490638,2956531,3781000,0.78,26.6
4001,2021-11-01,326,3,739,0,3150,1230452,612751,1535491,2185100,0.7,28.4
4002,2021-11-01,461,4,584,5,4948,562678,295382,1133551,1906700,0.59,28.1
4003,2021-11-01,184,5,167,1,3086,804417,377011,703728,932700,0.75,26.1
4004,2021-11-01,144,6,124,0,2125,1018681,492592,906124,1128800,0.8,26.1
4005,2021-11-01,288,7,232,2,3478,1273108,534776,1144548,1678700,0.68,27.6
4006,2021-11-01,190,9,126,2,2837,1949894,840785,1817890,2510300,0.72,27.7
4007,2021-11-01,46,10,14,2,453,308934,181990,198470,254900,0.78,28.4
4008,2021-11-01,318,8,69,4,2930,1987402,859551,1488314,1773600,0.84,28.4
4009,2021-11-01,393,13,608,7,8137,2097437,741473,2322015,3908500,0.59,26.966666666666665
4010,2021-11-01,478,14,673,20,7562,2027626,744360,2106331,2816500,0.75,27.4
4011,2021-11-01,883,11,872,5,13927,6760105,3160646,4487939,6538000,0.69,26.75
4012,2021-11-01,269,12,300,6,3080,574146,288199,853945,1259300,0.68,27.85
4013,2021-11-01,204,15,224,3,3602,4881900,2281541,2969284,1773700,1.67,27.1
4014,2021-11-01,0,16,6,0,44,91238,35808,78504,99600,0.79,27.9
4015,2021-11-01,34,17,19,0,440,258328,156711,141335,110000,1.28,26.4
4016,2021-11-02,419,2,541,4,7050,3375493,1491627,2962834,3781000,0.78,26.3
4017,2021-11-02,347,3,341,6,3154,1246998,616743,1538274,2185100,0.7,27.1
4018,2021-11-02,688,4,492,11,5137,549122,292644,1136259,1906700,0.6,25.3
4019,2021-11-02,214,5,240,0,3060,877851,396805,704286,932700,0.76,26.7
4020,2021-11-02,119,6,125,0,2119,1104354,512423,910753,1128800,0.81,26.7
4021,2021-11-02,250,7,331,1,3394,1249548,530430,1146558,1678700,0.68,25.7
4022,2021-11-02,219,9,534,5,2516,2004336,851606,1819621,2510300,0.72,26.6
4023,2021-11-02,54,10,8,0,499,313027,182191,198814,254900,0.78,27.1
4024,2021-11-02,276,8,69,8,3136,1973002,858146,1489886,1773600,0.84,27.1
4025,2021-11-02,549,13,536,4,8146,2125234,742237,2326389,3908500,0.6,27.133333333333336
4026,2021-11-02,528,14,755,18,7328,2031953,740571,2106747,2816500,0.75,26.775
4027,2021-11-02,899,11,902,11,13918,7487277,3332015,4513544,6538000,0.69,27.3
4028,2021-11-02,217,12,209,1,3084,546589,279264,856042,1259300,0.68,25.5
4029,2021-11-02,259,15,262,1,3597,5355776,2405887,2972047,1773700,1.68,27.4
4030,2021-11-02,0,16,1,0,43,88220,34742,78557,99600,0.79,27.2
4031,2021-11-02,33,17,26,0,447,271547,163898,142405,110000,1.29,27.2
4032,2021-11-03,441,2,532,8,6950,3737524,1567671,2966527,3781000,0.78,26.8
4033,2021-11-03,381,3,298,3,3233,1311908,637186,1540196,2185100,0.7,27.4
4034,2021-11-03,565,4,460,9,5239,587165,309494,1139032,1906700,0.6,25.4
4035,2021-11-03,154,5,122,2,3092,961219,422654,704534,932700,0.76,27.2
4036,2021-11-03,156,6,116,1,2159,1165059,533791,912470,1128800,0.81,27.2
4037,2021-11-03,316,7,258,0,3451,1369230,569696,1149014,1678700,0.68,25.8
4038,2021-11-03,190,9,306,1,2396,2139747,897604,1821337,2510300,0.73,26.1
4039,2021-11-03,27,10,20,3,506,326014,186107,199277,254900,0.78,27.4
4040,2021-11-03,246,8,89,2,3293,2077492,884924,1491390,1773600,0.84,27.4
4041,2021-11-03,675,13,436,4,8378,2255252,759536,2331288,3908500,0.6,27.33333333333333
4042,2021-11-03,540,14,671,10,7183,2072225,747664,2107136,2816500,0.75,27.15
4043,2021-11-03,1167,11,1037,1,14041,7639936,3373240,4531758,6538000,0.69,27.0
4044,2021-11-03,209,12,386,1,2905,594274,298933,858074,1259300,0.68,25.6
4045,2021-11-03,199,15,207,1,3585,5502422,2466121,2974556,1773700,1.68,27.4
4046,2021-11-03,6,16,1,0,48,95849,36094,78610,99600,0.79,27.3
4047,2021-11-03,19,17,8,0,458,277533,166914,142922,110000,1.3,26.6
4048,2021-11-04,429,2,425,8,6946,3409000,1435235,2968839,3781000,0.79,25.9
4049,2021-11-04,355,3,406,3,3181,1167385,580657,1540912,2185100,0.71,28.3
4050,2021-11-04,484,4,691,7,5029,626746,323595,1139996,1906700,0.6,26.2
4051,2021-11-04,250,5,238,0,3104,938769,420204,704682,932700,0.76,27.6
4052,2021-11-04,188,6,164,1,2183,1030381,508043,912508,1128800,0.81,27.6
4053,2021-11-04,310,7,381,4,3373,1374909,582020,1150829,1678700,0.69,27.6
4054,2021-11-04,210,9,255,6,2348,1913901,853067,1821962,2510300,0.73,27.2
4055,2021-11-04,38,10,25,0,519,306809,169307,199326,254900,0.78,28.3
4056,2021-11-04,340,8,755,2,2878,1844411,796105,1491603,1773600,0.84,28.3
4057,2021-11-04,655,13,381,3,8646,2064215,702726,2335181,3908500,0.6,27.5
4058,2021-11-04,527,14,443,19,7257,2006774,741644,2107752,2816500,0.75,26.125
4059,2021-11-04,1344,11,1054,6,14325,6844191,3078683,4539189,6538000,0.69,27.200000000000006
4060,2021-11-04,234,12,283,3,2850,607154,307945,858445,1259300,0.68,26.9
4061,2021-11-04,275,15,335,2,3524,5013442,2286130,2975012,1773700,1.68,27.1
4062,2021-11-04,19,16,7,0,60,80384,32032,78613,99600,0.79,27.1
4063,2021-11-04,55,17,22,0,491,275198,165307,142924,110000,1.3,27.3
4064,2021-11-05,405,2,509,6,6838,3433523,1498347,2970749,3781000,0.79,25.0
4065,2021-11-05,297,3,437,3,3038,1201395,598609,1541281,2185100,0.71,27.8
4066,2021-11-05,398,4,430,2,4992,572360,308655,1140478,1906700,0.6,25.4
4067,2021-11-05,201,5,227,1,3077,1025310,450403,705158,932700,0.76,27.1
4068,2021-11-05,227,6,181,0,2229,1104498,532497,914005,1128800,0.81,27.1
4069,2021-11-05,267,7,271,2,3368,1451254,599567,1153596,1678700,0.69,25.9
4070,2021-11-05,258,9,244,2,2356,1834575,821512,1822389,2510300,0.73,27.3
4071,2021-11-05,22,10,60,0,481,352378,196544,199551,254900,0.78,27.8
4072,2021-11-05,227,8,25,0,3079,2072463,886165,1493429,1773600,0.84,27.8
4073,2021-11-05,554,13,484,1,8710,2279208,767088,2339760,3908500,0.6,27.433333333333334
4074,2021-11-05,496,14,707,16,7034,2169906,771374,2108728,2816500,0.75,27.075000000000006
4075,2021-11-05,1075,11,1270,5,14117,7111872,3241734,4551084,6538000,0.7,27.05
4076,2021-11-05,238,12,391,4,2693,515241,278708,858518,1259300,0.68,25.65
4077,2021-11-05,201,15,296,5,3428,5307230,2400016,2978659,1773700,1.68,26.9
4078,2021-11-05,19,16,4,0,75,93088,35291,78738,99600,0.79,27.3
4079,2021-11-05,37,17,43,0,485,288889,168360,143575,110000,1.31,27.2
4080,2021-11-06,395,2,489,3,6741,3757821,1565239,2972208,3781000,0.79,27.3
4081,2021-11-06,232,3,436,3,2832,1278308,629050,1541589,2185100,0.71,28.8
4082,2021-11-06,379,4,533,3,4834,652451,334454,1140917,1906700,0.6,27.9
4083,2021-11-06,172,5,221,1,3026,1071268,472386,705233,932700,0.76,29.1
4084,2021-11-06,149,6,203,0,2175,1183583,570143,915084,1128800,0.81,29.1
4085,2021-11-06,267,7,238,5,3396,1490680,622393,1153840,1678700,0.69,28.4
4086,2021-11-06,201,9,247,2,2306,2148471,926925,1822646,2510300,0.73,28.4
4087,2021-11-06,30,10,32,0,479,327827,184090,199665,254900,0.78,28.8
4088,2021-11-06,225,8,27,0,3275,2072744,871387,1495250,1773600,0.84,28.8
4089,2021-11-06,569,13,582,7,8691,2250684,752750,2342924,3908500,0.6,27.33333333333333
4090,2021-11-06,499,14,863,18,6659,2248006,766165,2109412,2816500,0.75,27.725
4091,2021-11-06,1063,11,1025,7,14151,7593797,3341925,4554192,6538000,0.7,29.0
4092,2021-11-06,201,12,201,4,2692,649249,323154,859157,1259300,0.68,28.15
4093,2021-11-06,268,15,244,1,3450,5509501,2435677,2979253,1773700,1.68,29.1
4094,2021-11-06,10,16,15,0,70,86726,33677,78787,99600,0.79,27.6
4095,2021-11-06,41,17,26,0,500,267933,162929,143584,110000,1.31,28.9
4096,2021-11-07,381,2,554,6,6563,3699370,1521626,2974771,3781000,0.79,26.4
4097,2021-11-07,325,3,374,0,2777,1301325,641267,1543517,2185100,0.71,28.8
4098,2021-11-07,376,4,533,4,4672,610563,321148,1143073,1906700,0.6,28.2
4099,2021-11-07,152,5,300,0,2878,917504,420625,705246,932700,0.76,27.4
4100,2021-11-07,148,6,223,1,2098,1047834,526704,915187,1128800,0.81,27.4
4101,2021-11-07,220,7,68,4,3548,1313897,575284,1154064,1678700,0.69,27.6
4102,2021-11-07,186,9,191,5,2293,1948074,880566,1822863,2510300,0.73,28.7
4103,2021-11-07,19,10,38,0,460,272982,155223,199764,254900,0.78,28.8
4104,2021-11-07,245,8,23,2,3496,1882457,805893,1495659,1773600,0.84,28.8
4105,2021-11-07,405,13,540,2,8547,2155349,730767,2344630,3908500,0.6,27.633333333333336
4106,2021-11-07,460,14,704,6,6406,2092891,731635,2109820,2816500,0.75,26.05
4107,2021-11-07,981,11,1042,0,14082,7005050,3147017,4556489,6538000,0.7,27.55
4108,2021-11-07,186,12,401,5,2472,640768,319248,861608,1259300,0.68,27.9
4109,2021-11-07,228,15,165,0,3512,4999557,2297443,2979420,1773700,1.68,27.7
4110,2021-11-07,14,16,6,0,78,76425,31482,78840,99600,0.79,27.1
4111,2021-11-07,17,17,28,0,489,264469,164122,143584,110000,1.31,27.4
4112,2021-11-08,302,2,1123,6,5740,2475537,1121118,2980318,3781000,0.79,26.8
4113,2021-11-08,325,3,461,4,2639,844971,439852,1544998,2185100,0.71,27.9
4114,2021-11-08,820,4,464,6,5022,394896,216516,1145319,1906700,0.6,28.1
4115,2021-11-08,168,5,136,2,2909,665416,306695,705712,932700,0.76,28.4
4116,2021-11-08,191,6,155,0,2134,744816,373553,918736,1128800,0.81,28.4
4117,2021-11-08,273,7,489,1,3331,919551,418326,1154762,1678700,0.69,27.4
4118,2021-11-08,208,9,263,7,2231,1382459,641535,1824195,2510300,0.73,28.8
4119,2021-11-08,25,10,14,0,471,206032,122555,199974,254900,0.78,27.9
4120,2021-11-08,256,8,1466,0,2283,1362147,623353,1497776,1773600,0.84,27.9
4121,2021-11-08,364,13,960,1,7945,1460857,557916,2347682,3908500,0.6,27.133333333333336
4122,2021-11-08,385,14,514,12,6265,1450394,552137,2110278,2816500,0.75,27.2
4123,2021-11-08,809,11,785,13,14101,5109272,2475244,4576924,6538000,0.7,28.950000000000006
4124,2021-11-08,210,12,291,4,2385,398897,214586,862805,1259300,0.69,27.75
4125,2021-11-08,174,15,202,2,3482,3731657,1808430,2982259,1773700,1.68,29.3
4126,2021-11-08,5,16,4,0,79,60656,26015,78864,99600,0.79,27.7
4127,2021-11-08,28,17,21,0,496,189777,116355,143737,110000,1.31,28.6
4128,2021-11-09,385,2,342,5,5783,3066664,1350080,2984050,3781000,0.79,27.7
4129,2021-11-09,412,3,322,19,2727,1056250,536436,1545687,2185100,0.71,28.3
4130,2021-11-09,792,4,507,8,5303,504628,264082,1146721,1906700,0.6,26.9
4131,2021-11-09,200,5,242,2,2866,789245,356328,706177,932700,0.76,27.6
4132,2021-11-09,160,6,202,1,2091,898532,439574,921260,1128800,0.82,27.6
4133,2021-11-09,258,7,279,0,3308,1144598,485958,1155415,1678700,0.69,27.1
4134,2021-11-09,161,9,191,7,2191,1702948,753244,1825454,2510300,0.73,27.1
4135,2021-11-09,35,10,28,0,478,254078,153342,200135,254900,0.79,28.3
