,date,cases_new,state_id,cases_recovered,cases_death,cases_active,checkins,unique_ind,cumul_full,pop,percent_vax
238,2021-10-20,5516,1,9401,76,82838,27336429,10682293,23540774,32657400,0.72
239,2021-10-21,6210,1,7562,96,81426,29620661,11120965,23734977,32657400,0.73
240,2021-10-22,6630,1,7630,78,80355,30669726,11225960,23854957,32657400,0.73
241,2021-10-23,5828,1,9178,42,76942,31099883,10982662,23955572,32657400,0.73
242,2021-10-24,5666,1,6978,46,75573,29489172,10516959,24067664,32657400,0.74
243,2021-10-25,4782,1,7414,92,72871,30125247,11135489,24214395,32657400,0.74
244,2021-10-26,5726,1,5607,84,72935,30322123,11157114,24356107,32657400,0.75
245,2021-10-27,6148,1,7595,98,71422,30255528,11072180,24484563,32657400,0.75
246,2021-10-28,6377,1,6637,95,71107,30194322,11137944,24605289,32657400,0.75
247,2021-10-29,6060,1,7297,63,69811,32360475,11459012,24689764,32657400,0.76
248,2021-10-30,5854,1,6715,44,68892,33230399,11265543,24741661,32657400,0.76
249,2021-10-31,4979,1,6127,36,67707,32448407,10956456,24785677,32657400,0.76
250,2021-11-01,4626,1,5299,63,66977,30367454,11147693,24844000,32657400,0.76
251,2021-11-02,5071,1,5372,70,66628,31852372,11351618,24903016,32657400,0.76
252,2021-11-03,5291,1,4947,46,66917,33423823,11555205,24948121,32657400,0.76
253,2021-11-04,5713,1,5865,64,66714,30655381,10600001,24967773,32657400,0.76
254,2021-11-05,4922,1,5579,47,66000,32039498,11242935,24999698,32657400,0.77
255,2021-11-06,4701,1,5382,54,65277,33932645,11429397,25013741,32657400,0.77
256,2021-11-07,4343,1,5190,35,64371,31396938,10856514,25028535,32657400,0.77
257,2021-11-08,4543,1,7348,58,61513,22238497,8587695,25074339,32657400,0.77
258,2021-11-09,5403,1,5311,78,61553,27840983,10288458,25106193,32657400,0.77
259,2021-11-10,6243,1,5068,59,62688,30381976,11140677,25146176,32657400,0.77
260,2021-11-11,6323,1,5337,49,63625,30353636,11215153,25191360,32657400,0.77
261,2021-11-12,6517,1,6026,41,64068,31349934,11351275,25226403,32657400,0.77
262,2021-11-13,5809,1,4712,55,65121,32902712,11276254,25243055,32657400,0.77
263,2021-11-14,5162,1,5019,45,65226,31385125,10866262,25254622,32657400,0.77
264,2021-11-15,5143,1,4551,53,65774,29328290,11017775,25282303,32657400,0.77
265,2021-11-16,5413,1,6013,40,65128,28861157,10978406,25309185,32657400,0.77
266,2021-11-17,6288,1,4743,68,66612,29736021,11076697,25330667,32657400,0.78
267,2021-11-18,6380,1,5760,55,67197,28849815,10976554,25352385,32657400,0.78
268,2021-11-19,6355,1,5031,45,68476,31404661,11398495,25370337,32657400,0.78
269,2021-11-20,5859,1,4970,41,69327,31855483,11160441,25376984,32657400,0.78
270,2021-11-21,4854,1,5525,24,68610,29963366,10648289,25382214,32657400,0.78
271,2021-11-22,4885,1,5628,63,67826,28741154,10935972,25394651,32657400,0.78
272,2021-11-23,5594,1,4908,47,68464,28827649,10944879,25405731,32657400,0.78
273,2021-11-24,5755,1,5082,37,69094,29148408,10969675,25414792,32657400,0.78
274,2021-11-25,6144,1,6602,48,68586,30311965,11186474,25421123,32657400,0.78
275,2021-11-26,5501,1,6664,45,67380,32786193,11542418,25428121,32657400,0.78
276,2021-11-27,5097,1,5352,40,67079,33534272,11386607,25433652,32657400,0.78
277,2021-11-28,4239,1,5007,29,66274,31358322,10790123,25437457,32657400,0.78
278,2021-11-29,4087,1,4984,61,65336,29957490,11079204,25444516,32657400,0.78
279,2021-11-30,4879,1,5168,55,65014,30872070,11218574,25453499,32657400,0.78
280,2021-12-01,5439,1,6803,49,63619,31231527,11268497,25461826,32657400,0.78
281,2021-12-02,5806,1,7246,47,62136,30058979,11087966,25471063,32657400,0.78
282,2021-12-03,5551,1,5301,17,62340,32949294,11529198,25478121,32657400,0.78
283,2021-12-04,4896,1,4676,36,62518,34546300,11512700,25482344,32657400,0.78
284,2021-12-05,4298,1,4928,40,61850,32422550,10978299,25485163,32657400,0.78
285,2021-12-06,4262,1,5894,38,60176,30381588,11144047,25491644,32657400,0.78
286,2021-12-07,4965,1,4817,66,60288,31245536,11279913,25498732,32657400,0.78
287,2021-12-08,5020,1,4525,28,60746,31541866,11340177,25505463,32657400,0.78
288,2021-12-09,5446,1,5427,41,60737,28112011,10819450,25513312,32657400,0.78
289,2021-12-10,5058,1,4997,44,60768,31839049,11466927,25520365,32657400,0.78
290,2021-12-11,4626,1,4690,31,60679,33629652,11366407,25522874,32657400,0.78
291,2021-12-12,3490,1,5399,17,58741,32456586,11066705,25525086,32657400,0.78
292,2021-12-13,3504,1,4401,29,57813,30448117,11102368,25530449,32657400,0.78
293,2021-12-14,4097,1,4301,48,57577,31082120,11239604,25535899,32657400,0.78
294,2021-12-15,3900,1,4552,33,56898,31373823,11266377,25541509,32657400,0.78
295,2021-12-16,4262,1,4985,37,56149,30838977,11182794,25547833,32657400,0.78
296,2021-12-17,4362,1,5098,18,55369,30158172,11011975,25552766,32657400,0.78
297,2021-12-18,4083,1,5435,29,53983,29252537,10542995,25554924,32657400,0.78
298,2021-12-19,3108,1,3701,19,53357,29504827,10336494,25556993,32657400,0.78
299,2021-12-20,2589,1,3810,43,52096,31360848,11121032,25561397,32657400,0.78
300,2021-12-21,3140,1,4277,57,50932,30604407,11078151,25565876,32657400,0.78
301,2021-12-22,3519,1,5118,30,49317,31658215,11190855,25570602,32657400,0.78
302,2021-12-23,3510,1,4997,44,47812,31857912,11260071,25575951,32657400,0.78
303,2021-12-24,3528,1,4489,25,46838,33693142,11529963,25579869,32657400,0.78
304,2021-12-25,3160,1,4420,25,45576,31807070,10802813,25581113,32657400,0.78
305,2021-02-24,318,2,518,0,6156,2074008,927705,0,3781000,0.0
306,2021-02-24,17,3,187,0,578,817989,413976,0,2185100,0.0
307,2021-02-24,53,4,100,0,698,278048,150824,0,1906700,0.0
308,2021-02-24,26,5,37,0,363,576245,259793,0,932700,0.0
309,2021-02-24,1392,6,119,0,2208,639575,304428,0,1128800,0.0
310,2021-02-24,8,7,20,0,249,815591,343895,0,1678700,0.0
311,2021-02-24,188,9,95,0,2544,1295549,565865,0,2510300,0.0
312,2021-02-24,0,10,1,0,14,200077,116463,0,254900,0.0
313,2021-02-24,95,8,95,1,1045,1303872,593038,0,1773600,0.0
314,2021-02-24,105,13,189,1,1092,1169850,445605,1,3908500,0.0
315,2021-02-24,353,14,147,0,2054,1313534,516331,2,2816500,0.0
316,2021-02-24,581,11,1322,2,10490,4302048,2070162,0,6538000,0.0
317,2021-02-24,22,12,63,1,297,354767,175197,0,1259300,0.0
318,2021-02-24,381,15,432,7,2711,3562969,1647182,0,1773700,0.0
319,2021-02-24,5,16,1,0,22,69982,28861,0,99600,0.0
320,2021-02-24,1,17,5,0,51,195780,113866,0,110000,0.0
321,2021-02-25,257,2,804,0,5609,2111278,942380,0,3781000,0.0
322,2021-02-25,29,3,9,0,598,851666,425646,0,2185100,0.0
323,2021-02-25,44,4,26,0,716,295996,158817,0,1906700,0.0
324,2021-02-25,22,5,57,0,327,580504,262407,0,932700,0.0
325,2021-02-25,62,6,96,0,2174,650959,312373,0,1128800,0.0
326,2021-02-25,19,7,24,0,244,845175,354586,0,1678700,0.0
327,2021-02-25,120,9,181,0,2483,1316318,575755,0,2510300,0.0
328,2021-02-25,1,10,1,0,14,210590,122595,0,254900,0.0
329,2021-02-25,162,8,154,1,1053,1342626,605690,0,1773600,0.0
330,2021-02-25,93,13,127,1,1057,1213525,458033,1,3908500,0.0
331,2021-02-25,219,14,244,2,2028,1331199,524795,4,2816500,0.0
332,2021-02-25,666,11,1604,9,9551,4385034,2115153,0,6538000,0.0
333,2021-02-25,6,12,46,0,257,373418,181733,0,1259300,0.0
334,2021-02-25,218,15,372,0,2555,3624553,1690621,0,1773700,0.0
335,2021-02-25,4,16,2,0,24,71994,29657,0,99600,0.0
