id,date,checkins,unique_ind,unique_loc,checkins_to_ind_ratio,state_id,checkins_to_unique_loc_ratio
5069,2021-09-19,1244044,602226,40599,2.065742761,9,30.64223257
5070,2021-09-19,198630,113996,6976,1.742429559,10,28.47333716
5071,2021-09-19,1267458,595808,34629,2.127292685,8,36.60105692
5072,2021-09-19,1483521,560798,41222,2.645374984,13,35.98857406
5073,2021-09-19,1425158,566001,33076,2.517942548,14,43.08737453
5074,2021-09-19,5494428,2605509,111339,2.108773372,11,49.34863794
5075,2021-09-19,473526,240592,23888,1.96817018,12,19.8227562
5076,2021-09-19,3775520,1792541,60085,2.106239132,15,62.83631522
5077,2021-09-19,71387,30466,1496,2.343169435,16,47.71858289
5078,2021-09-19,217209,133970,1780,1.62132567,17,122.0275281
5079,2021-09-20,2574386,1252677,96606,2.055107582,2,26.64830342
5080,2021-09-20,929679,504176,41176,1.843957269,3,22.57817661
5081,2021-09-20,427970,232215,27962,1.842990332,4,15.30541449
5082,2021-09-20,672298,327669,25955,2.05175955,5,25.90244654
5083,2021-09-20,970057,458002,31288,2.118019135,6,31.00412299
5084,2021-09-20,967213,429109,38860,2.254003062,7,24.88968091
5085,2021-09-20,1593849,715908,62371,2.226332154,9,25.55432813
5086,2021-09-20,268682,157356,10804,1.707478584,10,24.86875231
5087,2021-09-20,1526521,715362,53909,2.133914018,8,28.31662617
5088,2021-09-20,1793778,661810,60938,2.710412354,13,29.4361154
5089,2021-09-20,1689373,650759,53854,2.596004051,14,31.36949902
5090,2021-09-20,6199008,2920961,177788,2.122249493,11,34.86741512
5091,2021-09-20,478411,243673,24381,1.963332006,12,19.62228785
5092,2021-09-20,4275951,2016224,97910,2.120771799,15,43.67226024
5093,2021-09-20,86761,34066,2413,2.546850232,16,35.95565686
5094,2021-09-20,226021,135885,3112,1.663325606,17,72.62885604
5095,2021-09-21,2490265,1236542,96683,2.013894393,2,25.75701002
5096,2021-09-21,934071,505158,41306,1.849067025,3,22.61344599
5097,2021-09-21,411907,226784,27348,1.816296564,4,15.06168641
5098,2021-09-21,651825,322970,26012,2.018221507,5,25.05862679
5099,2021-09-21,943980,449788,31112,2.098722065,6,30.34134739
5100,2021-09-21,932880,421537,38651,2.213044169,7,24.13598613
5101,2021-09-21,1520632,699301,61979,2.174502825,9,24.5346327
5102,2021-09-21,262398,155350,11017,1.689076279,10,23.81755469
5103,2021-09-21,1517533,715781,54266,2.120107966,8,27.96471087
5104,2021-09-21,1505045,590673,55061,2.548017262,13,27.3341385
5105,2021-09-21,1748714,664057,53899,2.633379364,14,32.4442754
5106,2021-09-21,6131424,2913542,180334,2.104457049,11,34.00037708
5107,2021-09-21,473239,241268,24213,1.961466088,12,19.54483129
5108,2021-09-21,4228774,2010544,98987,2.103298411,15,42.72049865
5109,2021-09-21,83250,33132,2341,2.512676566,16,35.56172576
5110,2021-09-21,225461,134975,3104,1.670390813,17,72.63563144
5111,2021-09-22,2503121,1239452,97901,2.019538473,2,25.5678798
5112,2021-09-22,937923,505809,42119,1.854302711,3,22.26840618
5113,2021-09-22,418107,228538,27279,1.829485687,4,15.32706478
