cluster,state,date_announced,date_last_onset,category,status
KLUSTER JALAN MASJID TANAH,4,2021-01-31,2021-02-12,workplace,ended
KLUSTER JALAN KEWAJIPAN,10,2021-01-31,2021-02-19,workplace,ended
KLUSTER JALAN TRONOH,8,2021-01-31,2021-03-03,community,ended
KLUSTER SUNGAI PURUN,10,2021-02-01,2021-01-01,highRisk,ended
KLUSTER NILAM TIGA,5,2021-02-01,2021-01-31,workplace,ended
KLUSTER LAPANGAN SIBER,8,2021-02-01,2021-01-31,workplace,ended
KLUSTER PERSIARAN RAYA,8,2021-02-01,2021-02-08,workplace,ended
KLUSTER JALAN TAN,14,2021-02-01,2021-02-08,highRisk,ended
KLUSTER PADAS DAMIT,12,2021-02-01,2021-02-09,community,ended
KLUSTER KAMPUNG SAMIN,12,2021-02-01,2021-02-09,community,ended
KLUSTER TAPAK BINA JALAN PUCHONG,14,2021-02-01,2021-02-10,workplace,ended
KLUSTER BINTANG DAILY,13,2021-02-01,2021-02-11,workplace,ended
KLUSTER TAPAK BINA JALAN LAGOON,10,2021-02-01,2021-02-12,workplace,ended
KLUSTER KAMPUNG PARIT MASJID,1,2021-02-01,2021-02-15,workplace,ended
KLUSTER INDUSTRI PUCHONG,10,2021-02-01,2021-02-18,workplace,ended
KLUSTER JALAN EMPAT,"14,16",2021-02-01,2021-03-04,highRisk,ended
KLUSTER LADANG SUNGAI PIN,12,2021-02-01,2021-03-10,workplace,ended
KLUSTER JALAN RAGUM,10,2021-02-02,2021-01-01,workplace,ended
KLUSTER TAMAN MUHIBBAH,6,2021-02-02,2021-02-04,workplace,ended
KLUSTER PARIT JAMIL DARAT,1,2021-02-02,2021-02-08,workplace,ended
KLUSTER TAPAK BINA JALAN CHERAS,14,2021-02-02,2021-02-16,workplace,ended
KLUSTER INDUSTRI SERKAM,"1,4,5",2021-02-02,2021-02-21,workplace,ended
KLUSTER SEMARAK BERSIA,8,2021-02-02,2021-02-22,community,ended
KLUSTER BUKIT RAHMAN,10,2021-02-02,2021-04-08,workplace,ended
KLUSTER TAPAK BINA PRESINT TUJUH,16,2021-02-03,2021-01-02,workplace,ended
KLUSTER BANDAR LAMA,12,2021-02-03,2021-02-05,workplace,ended
KLUSTER TAMAN KOPERASI,14,2021-02-03,2021-02-06,education,ended
KLUSTER JALAN SATU KKIP,12,2021-02-03,2021-02-09,workplace,ended
KLUSTER LEBUH KARAK,6,2021-02-03,2021-02-10,education,ended
KLUSTER JALAN PULAI 55,1,2021-02-03,2021-02-12,workplace,ended
KLUSTER KANDI SUNGAI BESI,14,2021-02-03,2021-02-12,education,ended
KLUSTER BATU TIGA SETENGAH,1,2021-02-03,2021-02-18,workplace,ended
KLUSTER LADANG TANGKARASON,12,2021-02-03,2021-02-21,workplace,ended
KLUSTER JALAN CITY,10,2021-02-03,2021-02-28,workplace,ended
KLUSTER JALAN AMAN,"10,14",2021-02-03,2021-03-05,workplace,ended
KLUSTER MAYANG PASIR,"2,7,11",2021-02-03,2021-03-10,workplace,ended
KLUSTER TEMBOK PENGKALAN CHEPA,3,2021-02-03,2021-05-07,detentionCentre,ended
KLUSTER KAMPUNG PULAU JAWA,6,2021-02-04,2021-02-03,community,ended
KLUSTER JALAN JELUTONG,1,2021-02-04,2021-02-05,community,ended
KLUSTER PARIT PENYENGAT,1,2021-02-04,2021-02-08,workplace,ended
KLUSTER KAMPUNG LUKUT,1,2021-02-04,2021-02-09,community,ended
KLUSTER JALAN PENGIRAN,13,2021-02-04,2021-02-10,workplace,ended
KLUSTER JALAN GOMBAK,"10,14",2021-02-04,2021-02-12,education,ended
KLUSTER PERMATA SATU,5,2021-02-04,2021-02-15,workplace,ended
KLUSTER JALAN INDUSTRI RAWANG,10,2021-02-04,2021-03-01,workplace,ended
KLUSTER JALAN JASMINE,10,2021-02-04,2021-03-04,workplace,ended
KLUSTER RANTAU TANJUNG,6,2021-02-04,2021-03-12,community,ended
KLUSTER BANDAR TEKNOLOGI,10,2021-02-05,2021-02-04,workplace,ended
KLUSTER JALAN ENAM BELAS,10,2021-02-05,2021-02-04,workplace,ended
KLUSTER JALAN MOKHTAR,10,2021-02-05,2021-02-04,workplace,ended
KLUSTER JALAN JUBILEE,14,2021-02-05,2021-02-04,highRisk,ended
KLUSTER SRI SENGKANG,1,2021-02-05,2021-02-07,workplace,ended
KLUSTER TAMAN MURNI,6,2021-02-05,2021-02-10,community,ended
KLUSTER INDUSTRI BENTONG SEBELAS,6,2021-02-05,2021-02-11,workplace,ended
KLUSTER TAPAK BINA JALAN VALDOR,7,2021-02-05,2021-02-17,workplace,ended
KLUSTER SANTONG PAKA,"6,11",2021-02-05,2021-02-18,workplace,ended
KLUSTER JUN HENG,13,2021-02-05,2021-02-21,workplace,ended
KLUSTER HIKMAH MUADZAM,6,2021-02-05,2021-02-25,community,ended
KLUSTER JALAN RUMBIA DUA,1,2021-02-05,2021-02-25,workplace,ended
KLUSTER JALAN LIMA,"5,10",2021-02-05,2021-03-01,workplace,ended
KLUSTER INDUSTRI TTJ,"4,5",2021-02-05,2021-03-18,workplace,ended
KLUSTER PERSIARAN JAYA,10,2021-02-05,2021-03-27,workplace,ended
KLUSTER TAPAK BINA JALAN SUNGAI BESI,14,2021-02-06,2021-02-05,workplace,ended
KLUSTER JALAN BAYU SATU,1,2021-02-06,2021-02-05,workplace,ended
KLUSTER INDUSTRI KAMPUNG BARU,10,2021-02-06,2021-02-05,workplace,ended
KLUSTER JALAN TUN MUTALIB,1,2021-02-06,2021-02-05,workplace,ended
KLUSTER JALAN BANTING-KLANG,10,2021-02-06,2021-02-06,workplace,ended
KLUSTER LINGKARAN CYBER,10,2021-02-06,2021-02-08,workplace,ended
KLUSTER JALAN CHESTER,12,2021-02-06,2021-02-08,workplace,ended
KLUSTER JALAN KUALA SELANGOR,10,2021-02-06,2021-02-13,education,ended
KLUSTER GONG NERING,11,2021-02-06,2021-02-17,workplace,ended
KLUSTER GUDANG SALAK TINGGI,10,2021-02-06,2021-02-22,workplace,ended
KLUSTER JALAN KUBUR DARAU,11,2021-02-06,2021-02-22,highRisk,ended
KLUSTER JALAN ISTIMEWA TUJUH,1,2021-02-06,2021-02-28,workplace,ended
KLUSTER JALAN GANGSA DUA,1,2021-02-07,2021-02-06,workplace,ended
KLUSTER AMPANG CAMPURAN,"10,14",2021-02-07,2021-02-06,highRisk,ended
KLUSTER LORONG MAWAR,8,2021-02-07,2021-02-08,religious,ended
KLUSTER TAMAN SEGAR,8,2021-02-07,2021-02-11,community,ended
KLUSTER JALAN BAGAN,10,2021-02-07,2021-02-12,education,ended
KLUSTER SERUAS,13,2021-02-07,2021-02-27,community,ended
KLUSTER TAPAK BINA LEMBAH SELATAN,10,2021-02-07,2021-03-23,workplace,ended
KLUSTER PERSIARAN HULU,10,2021-02-08,2021-02-07,workplace,ended
KLUSTER JALAN CYBER LIMA,1,2021-02-08,2021-02-07,workplace,ended
KLUSTER SRI MENANTI,"1,3",2021-02-08,2021-02-10,workplace,ended
KLUSTER TAMAN BUKIT PETALING,5,2021-02-08,2021-02-10,highRisk,ended
KLUSTER BATU 38,12,2021-02-08,2021-02-11,workplace,ended
KLUSTER JALAN HARMONIUM,1,2021-02-08,2021-02-11,workplace,ended
KLUSTER LAMAN DESARU,1,2021-02-08,2021-02-12,workplace,ended
KLUSTER LENGKOK PANTAI,14,2021-02-08,2021-02-14,workplace,ended
KLUSTER KAMPUNG TANDAK,"3,11",2021-02-08,2021-02-17,workplace,ended
KLUSTER SEBANGKOI,13,2021-02-08,2021-02-20,community,ended
KLUSTER JALAN SUNGAI RASA,10,2021-02-08,2021-02-20,workplace,ended
KLUSTER JALAN TEKNOLOGI,10,2021-02-08,2021-02-22,workplace,ended
KLUSTER TAPAK BINA PERSIARAN MOKHTAR,10,2021-02-08,2021-02-25,workplace,ended
KLUSTER JALAN PARIT MESJID,1,2021-02-09,2021-02-08,workplace,ended
KLUSTER LENGKOK EMAS,5,2021-02-09,2021-02-08,workplace,ended
KLUSTER SENAI CITY LAPAN,1,2021-02-09,2021-02-08,workplace,ended
KLUSTER BESI CYBER,1,2021-02-09,2021-02-08,workplace,ended
KLUSTER DIALISIS MASJID TANAH,"4,5",2021-02-09,2021-02-10,highRisk,ended
KLUSTER JALAN BUDIMAN,14,2021-02-09,2021-02-11,education,ended
KLUSTER KEJURUTERAAN SUBANG BARU,10,2021-02-09,2021-02-17,workplace,ended
KLUSTER JALAN CYBER 14,1,2021-02-09,2021-02-25,workplace,ended
KLUSTER TAPAK BINA PERSIARAN PUTERI,10,2021-02-09,2021-02-26,workplace,ended
KLUSTER INDUSTRI MAHKOTA,10,2021-02-09,2021-03-02,workplace,ended
KLUSTER TAPAK BINA JALAN PANTAI,14,2021-02-09,2021-03-11,workplace,ended
KLUSTER HULU JEROCCO,12,2021-02-09,2021-03-17,workplace,ended
KLUSTER LORONG SAHABAT,1,2021-02-10,2021-02-12,community,ended
KLUSTER JALAN DUA BELAS,14,2021-02-10,2021-02-12,workplace,ended
KLUSTER INDUSTRI WAWASAN,10,2021-02-10,2021-02-16,workplace,ended
KLUSTER JALAN UDA UTAMA,1,2021-02-10,2021-02-16,workplace,ended
KLUSTER JALAN HARUN,"10,14",2021-02-10,2021-02-16,highRisk,ended
KLUSTER BATU 20,10,2021-02-10,2021-02-18,workplace,ended
KLUSTER TAPAK BINA JALAN TANDOK,14,2021-02-10,2021-02-18,workplace,ended
KLUSTER TAPAK BINA PERSIARAN SEPANG,10,2021-02-10,2021-02-19,workplace,ended
KLUSTER JALAN KANCIL WAHA,1,2021-02-10,2021-02-20,community,ended
KLUSTER JALAN TIGA KKIP,12,2021-02-10,2021-02-24,workplace,ended
KLUSTER LORONG BERSATU DAMAI,12,2021-02-10,2021-02-25,highRisk,ended
KLUSTER JALAN BERHALA,14,2021-02-11,2021-02-10,workplace,ended
KLUSTER JALAN RAJA MUAR,1,2021-02-11,2021-02-10,workplace,ended
KLUSTER KAMPUNG TANJUNG SELABU,1,2021-02-11,2021-02-10,workplace,ended
KLUSTER JALAN BUKIT BARU,4,2021-02-11,2021-02-12,highRisk,ended
KLUSTER JALAN PERINDUSTRIAN GETAH,1,2021-02-11,2021-02-14,workplace,ended
KLUSTER DEDAP,2,2021-02-11,2021-02-16,education,ended
KLUSTER JALAN GEMILANG LIMA,1,2021-02-11,2021-02-17,workplace,ended
KLUSTER SUBANG DELIMA,10,2021-02-11,2021-02-18,workplace,ended
KLUSTER JALAN BAKAWALI RAMUN,1,2021-02-11,2021-02-19,community,ended
KLUSTER JALAN AIR HITAM,1,2021-02-11,2021-02-21,workplace,ended
KLUSTER NANGA LIJAN,13,2021-02-11,2021-02-22,community,ended
KLUSTER BUKIT ANGKASA,14,2021-02-11,2021-02-25,workplace,ended
KLUSTER PERDANA,2,2021-02-11,2021-03-02,workplace,ended
KLUSTER JALAN BUKIT SENTOSA,10,2021-02-11,2021-03-05,education,ended
KLUSTER JALAN TELAWI,14,2021-02-11,2021-03-07,workplace,ended
KLUSTER TEMBOK BENDERA,8,2021-02-11,2021-03-09,detentionCentre,ended
KLUSTER LADANG PEKAN,1,2021-02-12,2021-02-16,workplace,ended
KLUSTER JALAN SEELONG,1,2021-02-12,2021-02-17,workplace,ended
KLUSTER KAMPUNG TELUK,8,2021-02-12,2021-02-18,community,ended
KLUSTER JALAN BESAR PONTIAN,1,2021-02-12,2021-02-18,workplace,ended
KLUSTER SELAMBAU,"2,7",2021-02-12,2021-02-21,workplace,ended
KLUSTER PANGKAL CHANGGONG,3,2021-02-12,2021-02-23,education,ended
KLUSTER TAMAN INDUSTRI,10,2021-02-12,2021-02-28,workplace,ended
KLUSTER TEKNOLOGI BERENDAM,"1,4,5,10",2021-02-12,2021-03-04,workplace,ended
KLUSTER PERINDUSTRIAN PELEPAS,1,2021-02-12,2021-03-05,workplace,ended
KLUSTER TAPAK BINA PANTAI DALAM,14,2021-02-12,2021-03-05,workplace,ended
KLUSTER JALAN PERINDUSTRIAN ELEKTRONIK,1,2021-02-12,2021-03-05,workplace,ended
KLUSTER JALAN PERUSAHAAN TIGA,8,2021-02-12,2021-03-12,workplace,ended
KLUSTER TAPAK BINA DAMAR,"10,16",2021-02-12,2021-03-12,workplace,ended
KLUSTER JALAN JELAPANG,8,2021-02-12,2021-03-16,workplace,ended
KLUSTER JALAN LENGKOK SATU,1,2021-02-13,2021-02-12,workplace,ended
KLUSTER JALAN I-PARK SATU,1,2021-02-13,2021-02-12,workplace,ended
KLUSTER BUKIT TENGAH,11,2021-02-13,2021-02-23,workplace,ended
KLUSTER TAPAK BINA LORONG PEEL,14,2021-02-13,2021-02-24,workplace,ended
KLUSTER LEBUH KELULI,10,2021-02-13,2021-02-28,workplace,ended
KLUSTER PERSIARAN SYNERGI UTAMA,1,2021-02-13,2021-03-01,workplace,ended
KLUSTER PERSIARAN BUNGA TANJUNG,5,2021-02-13,2021-03-03,workplace,ended
KLUSTER TAPAK BINA JALIL UTAMA,14,2021-02-13,2021-03-06,workplace,ended
KLUSTER JALAN TUN RAZAK,"10,14",2021-02-13,2021-03-21,highRisk,ended
KLUSTER INDUSTRI SELESA,10,2021-02-13,2021-04-14,workplace,ended
KLUSTER JALAN JELATEK,10,2021-02-14,2021-02-13,workplace,ended
KLUSTER BATU 57,1,2021-02-14,2021-02-13,workplace,ended
KLUSTER JALAN USAHA SATU,1,2021-02-14,2021-02-17,workplace,ended
KLUSTER JALAN BADAK,8,2021-02-14,2021-02-20,religious,ended
KLUSTER JALAN SEPULUH,10,2021-02-14,2021-02-24,workplace,ended
KLUSTER TAPAK BINA JALAN SETIA,10,2021-02-14,2021-02-25,workplace,ended
KLUSTER PATIKANG ULU,12,2021-02-14,2021-02-28,community,ended
KLUSTER JALAN ISTIMEWA CEMERLANG,1,2021-02-14,2021-02-28,workplace,ended
KLUSTER JALAN TEBRAU KHAS,1,2021-02-14,2021-02-28,workplace,ended
KLUSTER RIA JAYA,2,2021-02-14,2021-03-02,workplace,ended
KLUSTER JALAN PERSIARAN TEKNOLOGI KULAI,1,2021-02-14,2021-03-06,workplace,ended
KLUSTER PENGKALAN TERAS,11,2021-02-15,2021-02-14,community,ended
KLUSTER JALAN TROPICANA,10,2021-02-15,2021-02-14,workplace,ended
KLUSTER JALAN BURSA,10,2021-02-15,2021-02-21,workplace,ended
KLUSTER JALAN TIGA BELAS,10,2021-02-15,2021-02-24,workplace,ended
KLUSTER GUNTONG DALAM,11,2021-02-15,2021-02-24,workplace,ended
KLUSTER TAPAK BINA PERSIARAN MUTIARA,7,2021-02-15,2021-02-26,workplace,ended
KLUSTER JALAN JINJANG,14,2021-02-15,2021-02-27,workplace,ended
KLUSTER JALAN KEPONG,10,2021-02-15,2021-02-27,workplace,ended
KLUSTER JALAN BARU,"2,7",2021-02-15,2021-03-03,workplace,ended
KLUSTER JALAN SENAI UTAMA,1,2021-02-15,2021-03-06,workplace,ended
KLUSTER JALAN CHERAS,10,2021-02-15,2021-03-11,highRisk,ended
KLUSTER TEKNOLOGI LOT ENAM,"4,5",2021-02-15,2021-04-10,workplace,ended
KLUSTER TEMBOK TAPAH,8,2021-02-15,2021-04-21,detentionCentre,ended
KLUSTER PACKAGE PENGERANG,1,2021-02-16,2021-02-15,workplace,ended
KLUSTER JALAN DAY,2,2021-02-16,2021-02-15,education,ended
KLUSTER JALAN LAZUARDI,10,2021-02-16,2021-02-16,workplace,ended
KLUSTER JALAN INDUSTRI DUA BELAS,10,2021-02-16,2021-02-20,workplace,ended
KLUSTER JALAN PELEPAS EMPAT,1,2021-02-16,2021-02-20,workplace,ended
KLUSTER WAWASAN KULAI,1,2021-02-16,2021-02-20,workplace,ended
KLUSTER UNIVISTA,13,2021-02-16,2021-02-22,community,ended
KLUSTER KIDURONG DUA,13,2021-02-16,2021-02-22,education,ended
KLUSTER JALAN GERONGGANG,13,2021-02-16,2021-02-23,highRisk,ended
KLUSTER INDUSTRI CYBER,"1,4",2021-02-16,2021-03-01,workplace,ended
KLUSTER TAPAK BINA JALAN SEGAMBUT,14,2021-02-16,2021-03-03,workplace,ended
KLUSTER JENGKA TUJUH,6,2021-02-16,2021-03-05,education,ended
KLUSTER JALAN APAS EMPAT,12,2021-02-16,2021-03-07,workplace,ended
KLUSTER SIMPANG TIGA,12,2021-02-16,2021-03-08,workplace,ended
KLUSTER KAMPUNG SUNGAI MAONG,13,2021-02-16,2021-03-13,community,ended
KLUSTER JALAN INDUSTRI TIGA,10,2021-02-16,2021-03-13,workplace,ended
KLUSTER JALAN KAYU MANIS,8,2021-02-16,2021-03-20,workplace,ended
KLUSTER GELONG,13,2021-02-16,2021-04-08,community,ended
KLUSTER RAWANG BESTARI,10,2021-02-16,2021-04-10,workplace,ended
KLUSTER SENAI MURNI EMPAT,1,2021-02-17,2021-02-16,workplace,ended
KLUSTER JALAN DC,10,2021-02-17,2021-02-16,highRisk,ended
KLUSTER TAPAK BINA SEKSYEN SATU,10,2021-02-17,2021-02-19,workplace,ended
KLUSTER TAPAK BINA JALAN EMAS,10,2021-02-17,2021-02-23,workplace,ended
KLUSTER JALAN PERINDUSTRIAN MURNI,1,2021-02-17,2021-02-24,workplace,ended
KLUSTER JAN YONG,13,2021-02-17,2021-02-27,community,ended
KLUSTER TAPAK BINA JALAN SULTAN,14,2021-02-17,2021-02-27,workplace,ended
KLUSTER JALAN PERSIARAN CYBER,1,2021-02-17,2021-03-01,workplace,ended
KLUSTER PULAU RUSA,11,2021-02-17,2021-03-02,workplace,ended
KLUSTER JALAN SUBANG,10,2021-02-17,2021-03-08,workplace,ended
KLUSTER JALAN PAYAMANIS,1,2021-02-17,2021-03-11,highRisk,ended
KLUSTER JALAN RAWANG,10,2021-02-17,2021-03-19,workplace,ended
KLUSTER INDUSTRI TEKSTIL NILAI,"5,10",2021-02-17,2021-05-07,workplace,ended
KLUSTER KAMPUNG JAWEK,11,2021-02-18,2021-02-17,community,ended
KLUSTER PERINDUSTRIAN FASA DUA,1,2021-02-18,2021-02-18,workplace,ended
KLUSTER LOT SATU,12,2021-02-18,2021-02-20,workplace,ended
KLUSTER JALAN JITU,10,2021-02-18,2021-02-22,workplace,ended
KLUSTER LOT TUJUH,12,2021-02-18,2021-02-22,workplace,ended
KLUSTER MEDIACITY,"14,16",2021-02-18,2021-02-25,workplace,ended
KLUSTER JALAN DPB TIGA,1,2021-02-18,2021-02-25,workplace,ended
KLUSTER JALAN TELOK IRA,6,2021-02-18,2021-02-28,religious,ended
KLUSTER JALAN HULU TINGGI,10,2021-02-18,2021-03-01,workplace,ended
KLUSTER JALAN TEBRAU DUA,1,2021-02-18,2021-03-01,workplace,ended
KLUSTER JALAN SRI PUTRI,1,2021-02-18,2021-03-01,highRisk,ended
KLUSTER JALAN INDUSTRI KIDAMAI,10,2021-02-18,2021-03-04,workplace,ended
KLUSTER MAYANG,10,2021-02-18,2021-03-06,workplace,ended
KLUSTER JALAN PERINDUSTRIAN ESTATE,1,2021-02-18,2021-03-06,workplace,ended
KLUSTER JALAN BUKIT KEMUNING,10,2021-02-18,2021-03-11,workplace,ended
KLUSTER JALAN CHANGKAT JONG,8,2021-02-18,2021-03-22,workplace,ended
KLUSTER LINTANG KAMPUNG JAWA,"2,7",2021-02-18,2021-03-26,workplace,ended
KLUSTER JALAN INDAH UTAMA,1,2021-02-19,2021-02-18,workplace,ended
KLUSTER JALAN KOTA MURNI,1,2021-02-19,2021-02-18,workplace,ended
KLUSTER JALAN KUCHAI,14,2021-02-19,2021-02-19,workplace,ended
KLUSTER KUBANG JAMBU,11,2021-02-19,2021-02-23,highRisk,ended
KLUSTER KEJATAU,13,2021-02-19,2021-02-27,workplace,ended
KLUSTER PARIT HAJI KHAMIS,1,2021-02-19,2021-03-02,workplace,ended
KLUSTER JALAN TUN MUTAHIR,1,2021-02-19,2021-03-03,workplace,ended
KLUSTER JALAN MURNI 12,1,2021-02-19,2021-03-07,workplace,ended
KLUSTER JALAN SEMENTA,10,2021-02-19,2021-03-08,workplace,ended
KLUSTER SINGGAHMATA,12,2021-02-19,2021-03-10,workplace,ended
KLUSTER KOMPLEKS PERABUT,10,2021-02-19,2021-03-16,workplace,ended
KLUSTER BUKIT PETITI,11,2021-02-19,2021-03-17,community,ended
KLUSTER JALAN GREEN,13,2021-02-19,2021-03-20,community,ended
KLUSTER JALAN PERUSAHAAN SATU,10,2021-02-20,2021-02-19,workplace,ended
KLUSTER JALAN PASAR,12,2021-02-20,2021-02-19,workplace,ended
KLUSTER JALAN WAWASAN 14,1,2021-02-20,2021-02-19,workplace,ended
KLUSTER JALAN TANJUNG ENAM,1,2021-02-20,2021-02-19,workplace,ended
KLUSTER TAPAK BINA KASIA,5,2021-02-20,2021-02-20,workplace,ended
KLUSTER PERDANA TIGA,10,2021-02-20,2021-02-21,workplace,ended
KLUSTER BATU DUA SETENGAH,1,2021-02-20,2021-02-21,workplace,ended
KLUSTER BATU SEBELAS,8,2021-02-20,2021-03-09,workplace,ended
KLUSTER JALAN LAPANGAN TERBANG,1,2021-02-20,2021-03-19,workplace,ended
KLUSTER JALAN PELABUHAN,8,2021-02-20,2021-04-05,workplace,ended
KLUSTER JALAN PANDAN RIA,1,2021-02-21,2021-02-20,workplace,ended
KLUSTER JALAN KELAPA MAWAR,1,2021-02-21,2021-02-25,workplace,ended
KLUSTER JALAN CEMERLANG BESI,1,2021-02-21,2021-03-03,workplace,ended
KLUSTER JALAN KOTA KULAI,1,2021-02-21,2021-03-03,workplace,ended
KLUSTER JALAN PERSIARAN CEMERLANG,1,2021-02-21,2021-03-06,workplace,ended
KLUSTER PERUSAHAAN BARU,7,2021-02-21,2021-03-08,workplace,ended
KLUSTER TAPAK BINA JALAN KOTA,10,2021-02-22,2021-02-21,workplace,ended
KLUSTER PASAR JALAN PUTRA,10,2021-02-22,2021-02-21,workplace,ended
KLUSTER TAPAK BINA LOMBONG TIMAH,10,2021-02-22,2021-02-22,workplace,ended
KLUSTER TAPAK BINA SUNGAI BATU,14,2021-02-22,2021-03-10,workplace,ended
KLUSTER SUNGAI BAKONG,13,2021-02-22,2021-03-20,education,ended
KLUSTER INDUSTRI SUNGAI GADUT,5,2021-02-22,2021-03-22,workplace,ended
KLUSTER HILIR SUNGAI KLUANG,"7,8",2021-02-22,2021-03-30,workplace,ended
KLUSTER EMPEROH JAMBU,13,2021-02-22,2021-04-17,community,ended
KLUSTER JALAN BAYAM,14,2021-02-23,2021-02-25,workplace,ended
KLUSTER JALAN CYBER SEMBILAN,1,2021-02-23,2021-02-25,workplace,ended
KLUSTER JALAN TEBRAU PANDAN,1,2021-02-23,2021-02-28,workplace,ended
KLUSTER TAPAK BINA DIGITAL LAPAN,1,2021-02-23,2021-03-01,workplace,ended
KLUSTER TAMAN MAWAR,12,2021-02-23,2021-03-02,community,ended
KLUSTER JALAN PKNK 3/3,2,2021-02-23,2021-03-02,workplace,ended
KLUSTER JALAN WAWASAN 16,1,2021-02-23,2021-03-02,workplace,ended
KLUSTER SUBANG TIGA,10,2021-02-23,2021-03-04,workplace,ended
KLUSTER JALAN DAMAI,10,2021-02-23,2021-03-16,workplace,ended
KLUSTER JALAN SETIAWANGSA,"10,14",2021-02-23,2021-03-25,workplace,ended
KLUSTER JALAN MUHIBBAH,13,2021-02-23,2021-04-06,community,ended
KLUSTER TAPAK BINA JALAN EKAR,5,2021-02-23,2021-04-15,workplace,ended
KLUSTER JALAN SERENDAH,"10,14",2021-02-23,2021-04-17,workplace,ended
KLUSTER JALAN DATO YUNUS,1,2021-02-24,2021-02-23,workplace,ended
KLUSTER JALAN ENAM,10,2021-02-24,2021-03-01,workplace,ended
KLUSTER PERINDUSTRIAN LUKUT,1,2021-02-24,2021-03-01,workplace,ended
KLUSTER JALAN ULU CHOH,1,2021-02-24,2021-03-02,workplace,ended
KLUSTER VISTA HILIR,7,2021-02-24,2021-03-09,workplace,ended
KLUSTER LORONG BAKAU,7,2021-02-24,2021-03-10,workplace,ended
KLUSTER PASAR BIDOR,8,2021-02-24,2021-03-16,workplace,ended
KLUSTER SINSINGON,12,2021-02-24,2021-04-02,community,ended
KLUSTER TAPAK BINA INDERA MAHKOTA,6,2021-02-25,2021-02-24,workplace,ended
KLUSTER INDUSTRI JALAN EMPAT,10,2021-02-25,2021-02-24,workplace,ended
KLUSTER JALAN PUTRA SILANG,14,2021-02-25,2021-02-26,workplace,ended
KLUSTER KAMPUNG MAK TEH,8,2021-02-25,2021-03-03,community,ended
KLUSTER INDUSTRI 19,10,2021-02-25,2021-03-05,workplace,ended
KLUSTER JALAN HO PIN,13,2021-02-25,2021-03-06,community,ended
KLUSTER LORONG MURNI,7,2021-02-25,2021-03-14,highRisk,ended
KLUSTER SS LAPAN,10,2021-02-25,2021-04-12,workplace,ended
KLUSTER JALAN MEGA SATU,1,2021-02-26,2021-02-25,workplace,ended
KLUSTER SIMPANG TIGA MUAR,1,2021-02-26,2021-02-25,workplace,ended
KLUSTER GENTING TERANG,7,2021-02-26,2021-02-28,workplace,ended
KLUSTER MEROTAI BESAR,12,2021-02-26,2021-03-05,workplace,ended
KLUSTER KAMPUNG TELEKONG,3,2021-02-26,2021-03-07,community,ended
KLUSTER JALAN JENJARUM,10,2021-02-26,2021-03-08,workplace,ended
KLUSTER KAMPUNG COLUMBIA,8,2021-02-26,2021-03-11,community,ended
KLUSTER BUKIT PUTRA,10,2021-02-26,2021-03-13,workplace,ended
KLUSTER TAPAK BINA PERSIARAN FREESIA,"10,14",2021-02-26,2021-04-16,workplace,ended
KLUSTER TEKNOLOGI EMAS,"5,10",2021-02-26,2021-05-19,workplace,ended
KLUSTER KAMPUNG PULAU RAJA,3,2021-02-27,2021-02-26,workplace,ended
KLUSTER JALAN SCIENTEX JAYA,1,2021-02-27,2021-02-26,workplace,ended
KLUSTER JALAN MEGA TEKNOLOGI,1,2021-02-27,2021-02-26,workplace,ended
KLUSTER JALAN GEMILANG SATU,1,2021-02-27,2021-02-26,workplace,ended
KLUSTER JALAN PERMAS SEMBILAN,1,2021-02-27,2021-03-03,workplace,ended
KLUSTER JALAN TAMPOI BESI,1,2021-02-27,2021-03-07,workplace,ended
KLUSTER BULOH,13,2021-02-27,2021-03-15,community,ended
KLUSTER JALAN TASEK AVENUE,8,2021-02-27,2021-03-16,workplace,ended
KLUSTER JALAN SELISIK,10,2021-02-28,2021-02-27,workplace,ended
KLUSTER JALAN DESA TROPIKA,1,2021-02-28,2021-02-27,workplace,ended
KLUSTER JALAN TANJUNG EMPAT,1,2021-02-28,2021-03-05,workplace,ended
KLUSTER JALAN TIMAH TIGA,1,2021-02-28,2021-03-08,workplace,ended
KLUSTER JALAN SUNGAI BAONG,7,2021-02-28,2021-03-13,workplace,ended
KLUSTER INDUSTRI WAJA,10,2021-02-28,2021-03-13,workplace,ended
KLUSTER TAPAK BINA BUKIT KIARA,14,2021-02-28,2021-03-15,workplace,ended
KLUSTER PERUSAHAAN JALAN BUKIT,10,2021-02-28,2021-03-19,workplace,ended
KLUSTER BATU EMPAT,1,2021-02-28,2021-03-21,workplace,ended
KLUSTER DESA EMPAT,10,2021-03-01,2021-02-28,workplace,ended
KLUSTER JALAN KEMPAS TIGA,1,2021-03-01,2021-03-01,workplace,ended
KLUSTER JALAN MELATI,10,2021-03-01,2021-03-03,workplace,ended
KLUSTER JALAN WAWASAN 12,1,2021-03-01,2021-03-07,workplace,ended
KLUSTER JALAN CEMPEDAK,14,2021-03-01,2021-03-07,highRisk,ended
KLUSTER KAMPUNG SUNGAI BURUNG,1,2021-03-01,2021-03-09,workplace,ended
KLUSTER BUKIT MARAK,3,2021-03-01,2021-03-19,community,ended
KLUSTER PERSIARAN BAYAN INDAH,7,2021-03-02,2021-03-08,workplace,ended
