,date,temp,state_id,state
6298,2021-02-23,29.2,15,W.P. Kuala Lumpur
6299,2021-02-23,26.3,16,W.P. Labuan
6300,2021-02-23,28.4,17,W.P. Putrajaya
6301,2021-02-24,25.8,2,Johor
6302,2021-02-24,28.8,3,Kedah
6303,2021-02-24,25.7,4,Kelantan
6304,2021-02-24,27.5,5,Melaka
6305,2021-02-24,26.2,7,Pahang
6306,2021-02-24,28.8,8,Pulau Pinang
6307,2021-02-24,28.4,9,Perak
6308,2021-02-24,28.8,10,Perlis
6309,2021-02-24,28.9,11,Selangor
6310,2021-02-24,25.95,12,Terengganu
6311,2021-02-24,27.0,13,Sabah
6312,2021-02-24,26.425,14,Sarawak
6313,2021-02-24,29.4,15,W.P. Kuala Lumpur
6314,2021-02-24,26.2,16,W.P. Labuan
6315,2021-02-24,28.4,17,W.P. Putrajaya
6316,2021-02-25,26.4,2,Johor
6317,2021-02-25,28.4,3,Kedah
6318,2021-02-25,26.3,4,Kelantan
6319,2021-02-25,27.8,5,Melaka
6320,2021-02-25,26.5,7,Pahang
6321,2021-02-25,28.4,8,Pulau Pinang
6322,2021-02-25,27.5,9,Perak
6323,2021-02-25,28.4,10,Perlis
6324,2021-02-25,28.25,11,Selangor
6325,2021-02-25,26.4,12,Terengganu
6326,2021-02-25,27.133333333333336,13,Sabah
6327,2021-02-25,26.375,14,Sarawak
6328,2021-02-25,28.9,15,W.P. Kuala Lumpur
6329,2021-02-25,26.2,16,W.P. Labuan
6330,2021-02-25,27.6,17,W.P. Putrajaya
6331,2021-02-26,26.5,2,Johor
6332,2021-02-26,28.3,3,Kedah
6333,2021-02-26,26.8,4,Kelantan
6334,2021-02-26,28.4,5,Melaka
6335,2021-02-26,27.8,7,Pahang
6336,2021-02-26,28.3,8,Pulau Pinang
6337,2021-02-26,28.1,9,Perak
6338,2021-02-26,28.3,10,Perlis
6339,2021-02-26,28.95,11,Selangor
6340,2021-02-26,27.3,12,Terengganu
6341,2021-02-26,26.899999999999995,13,Sabah
6342,2021-02-26,26.825,14,Sarawak
6343,2021-02-26,29.2,15,W.P. Kuala Lumpur
6344,2021-02-26,26.8,16,W.P. Labuan
6345,2021-02-26,28.7,17,W.P. Putrajaya
6346,2021-02-27,26.3,2,Johor
6347,2021-02-27,28.1,3,Kedah
6348,2021-02-27,26.8,4,Kelantan
6349,2021-02-27,28.6,5,Melaka
6350,2021-02-27,27.6,7,Pahang
6351,2021-02-27,28.1,8,Pulau Pinang
6352,2021-02-27,27.9,9,Perak
6353,2021-02-27,28.1,10,Perlis
6354,2021-02-27,29.200000000000003,11,Selangor
6355,2021-02-27,27.200000000000003,12,Terengganu
6356,2021-02-27,27.133333333333336,13,Sabah
6357,2021-02-27,27.4,14,Sarawak
6358,2021-02-27,29.3,15,W.P. Kuala Lumpur
6359,2021-02-27,27.3,16,W.P. Labuan
6360,2021-02-27,29.1,17,W.P. Putrajaya
6361,2021-02-28,27.4,2,Johor
6362,2021-02-28,28.8,3,Kedah
6363,2021-02-28,27.1,4,Kelantan
6364,2021-02-28,28.8,5,Melaka
6365,2021-02-28,27.3,7,Pahang
6366,2021-02-28,28.8,8,Pulau Pinang
6367,2021-02-28,28.6,9,Perak
6368,2021-02-28,28.8,10,Perlis
6369,2021-02-28,28.15,11,Selangor
6370,2021-02-28,27.200000000000003,12,Terengganu
6371,2021-02-28,27.0,13,Sabah
6372,2021-02-28,26.575,14,Sarawak
6373,2021-02-28,28.6,15,W.P. Kuala Lumpur
6374,2021-02-28,26.6,16,W.P. Labuan
6375,2021-02-28,27.7,17,W.P. Putrajaya
6376,2021-03-01,26.8,2,Johor
6377,2021-03-01,29.1,3,Kedah
6378,2021-03-01,27.6,4,Kelantan
6379,2021-03-01,28.7,5,Melaka
6380,2021-03-01,27.2,7,Pahang
6381,2021-03-01,29.1,8,Pulau Pinang
6382,2021-03-01,28.6,9,Perak
6383,2021-03-01,29.1,10,Perlis
6384,2021-03-01,28.9,11,Selangor
6385,2021-03-01,27.4,12,Terengganu
6386,2021-03-01,26.400000000000002,13,Sabah
6387,2021-03-01,27.15,14,Sarawak
6388,2021-03-01,29.0,15,W.P. Kuala Lumpur
6389,2021-03-01,26.8,16,W.P. Labuan
6390,2021-03-01,28.8,17,W.P. Putrajaya
6391,2021-03-02,27.5,2,Johor
6392,2021-03-02,29.4,3,Kedah
6393,2021-03-02,27.7,4,Kelantan
6394,2021-03-02,28.3,5,Melaka
6395,2021-03-02,26.9,7,Pahang
6396,2021-03-02,29.4,8,Pulau Pinang
6397,2021-03-02,28.4,9,Perak
6398,2021-03-02,29.4,10,Perlis
6399,2021-03-02,27.85,11,Selangor
6400,2021-03-02,27.299999999999997,12,Terengganu
6401,2021-03-02,27.2,13,Sabah
6402,2021-03-02,27.549999999999997,14,Sarawak
6403,2021-03-02,27.4,15,W.P. Kuala Lumpur
6404,2021-03-02,28.1,16,W.P. Labuan
6405,2021-03-02,28.3,17,W.P. Putrajaya
6406,2021-03-03,27.6,2,Johor
6407,2021-03-03,27.9,3,Kedah
6408,2021-03-03,28.3,4,Kelantan
6409,2021-03-03,28.6,5,Melaka
6410,2021-03-03,27.8,7,Pahang
6411,2021-03-03,27.9,8,Pulau Pinang
6412,2021-03-03,27.6,9,Perak
6413,2021-03-03,27.9,10,Perlis
6414,2021-03-03,28.25,11,Selangor
6415,2021-03-03,28.05,12,Terengganu
6416,2021-03-03,27.3,13,Sabah
6417,2021-03-03,27.625,14,Sarawak
6418,2021-03-03,27.8,15,W.P. Kuala Lumpur
6419,2021-03-03,27.8,16,W.P. Labuan
6420,2021-03-03,28.7,17,W.P. Putrajaya
6421,2021-03-04,28.3,2,Johor
6422,2021-03-04,29.3,3,Kedah
6423,2021-03-04,28.2,4,Kelantan
6424,2021-03-04,28.9,5,Melaka
6425,2021-03-04,27.5,7,Pahang
6426,2021-03-04,29.3,8,Pulau Pinang
6427,2021-03-04,28.8,9,Perak
6428,2021-03-04,29.3,10,Perlis
6429,2021-03-04,29.15,11,Selangor
6430,2021-03-04,27.85,12,Terengganu
6431,2021-03-04,27.266666666666666,13,Sabah
6432,2021-03-04,26.1,14,Sarawak
6433,2021-03-04,29.4,15,W.P. Kuala Lumpur
6434,2021-03-04,27.7,16,W.P. Labuan
6435,2021-03-04,28.9,17,W.P. Putrajaya
6436,2021-03-05,28.3,2,Johor
6437,2021-03-05,29.7,3,Kedah
6438,2021-03-05,28.3,4,Kelantan
6439,2021-03-05,29.4,5,Melaka
6440,2021-03-05,27.4,7,Pahang
6441,2021-03-05,29.7,8,Pulau Pinang
6442,2021-03-05,27.5,9,Perak
6443,2021-03-05,29.7,10,Perlis
6444,2021-03-05,29.549999999999997,11,Selangor
6445,2021-03-05,27.85,12,Terengganu
6446,2021-03-05,27.2,13,Sabah
6447,2021-03-05,27.225,14,Sarawak
6448,2021-03-05,29.7,15,W.P. Kuala Lumpur
6449,2021-03-05,27.5,16,W.P. Labuan
6450,2021-03-05,29.4,17,W.P. Putrajaya
6451,2021-03-06,28.1,2,Johor
6452,2021-03-06,26.9,3,Kedah
6453,2021-03-06,27.6,4,Kelantan
6454,2021-03-06,27.2,5,Melaka
6455,2021-03-06,27.1,7,Pahang
6456,2021-03-06,26.9,8,Pulau Pinang
6457,2021-03-06,27.1,9,Perak
6458,2021-03-06,26.9,10,Perlis
6459,2021-03-06,27.700000000000003,11,Selangor
6460,2021-03-06,27.35,12,Terengganu
6461,2021-03-06,27.5,13,Sabah
6462,2021-03-06,26.85,14,Sarawak
6463,2021-03-06,27.8,15,W.P. Kuala Lumpur
6464,2021-03-06,27.9,16,W.P. Labuan
6465,2021-03-06,27.6,17,W.P. Putrajaya
6466,2021-03-07,26.8,2,Johor
6467,2021-03-07,28.3,3,Kedah
6468,2021-03-07,27.6,4,Kelantan
6469,2021-03-07,25.1,5,Melaka
6470,2021-03-07,27.2,7,Pahang
6471,2021-03-07,28.3,8,Pulau Pinang
6472,2021-03-07,26.8,9,Perak
6473,2021-03-07,28.3,10,Perlis
6474,2021-03-07,25.25,11,Selangor
6475,2021-03-07,27.4,12,Terengganu
6476,2021-03-07,27.366666666666664,13,Sabah
6477,2021-03-07,26.65,14,Sarawak
6478,2021-03-07,25.8,15,W.P. Kuala Lumpur
6479,2021-03-07,27.7,16,W.P. Labuan
6480,2021-03-07,24.7,17,W.P. Putrajaya
6481,2021-03-08,27.0,2,Johor
6482,2021-03-08,28.8,3,Kedah
6483,2021-03-08,27.3,4,Kelantan
6484,2021-03-08,27.8,5,Melaka
6485,2021-03-08,26.6,7,Pahang
6486,2021-03-08,28.8,8,Pulau Pinang
6487,2021-03-08,28.1,9,Perak
6488,2021-03-08,28.8,10,Perlis
6489,2021-03-08,28.35,11,Selangor
6490,2021-03-08,26.950000000000003,12,Terengganu
6491,2021-03-08,26.2,13,Sabah
6492,2021-03-08,25.475,14,Sarawak
6493,2021-03-08,28.8,15,W.P. Kuala Lumpur
6494,2021-03-08,27.7,16,W.P. Labuan
6495,2021-03-08,27.9,17,W.P. Putrajaya
6496,2021-03-09,27.9,2,Johor
6497,2021-03-09,29.2,3,Kedah
6498,2021-03-09,27.2,4,Kelantan
6499,2021-03-09,28.3,5,Melaka
6500,2021-03-09,26.7,7,Pahang
6501,2021-03-09,29.2,8,Pulau Pinang
6502,2021-03-09,29.1,9,Perak
6503,2021-03-09,29.2,10,Perlis
6504,2021-03-09,29.1,11,Selangor
6505,2021-03-09,26.95,12,Terengganu
6506,2021-03-09,27.166666666666668,13,Sabah
6507,2021-03-09,25.299999999999997,14,Sarawak
6508,2021-03-09,29.4,15,W.P. Kuala Lumpur
6509,2021-03-09,27.1,16,W.P. Labuan
6510,2021-03-09,28.8,17,W.P. Putrajaya
6511,2021-03-10,27.9,2,Johor
6512,2021-03-10,30.4,3,Kedah
6513,2021-03-10,27.4,4,Kelantan
6514,2021-03-10,28.6,5,Melaka
6515,2021-03-10,27.0,7,Pahang
6516,2021-03-10,30.4,8,Pulau Pinang
6517,2021-03-10,29.3,9,Perak
6518,2021-03-10,30.4,10,Perlis
6519,2021-03-10,29.3,11,Selangor
6520,2021-03-10,27.2,12,Terengganu
6521,2021-03-10,27.5,13,Sabah
6522,2021-03-10,26.475,14,Sarawak
6523,2021-03-10,29.8,15,W.P. Kuala Lumpur
6524,2021-03-10,27.3,16,W.P. Labuan
6525,2021-03-10,28.8,17,W.P. Putrajaya
6526,2021-03-11,27.6,2,Johor
6527,2021-03-11,29.2,3,Kedah
