id,cluster,date_announced,date_last_onset,category,status,state_id
7441,KLUSTER DAH TUPAH INDUSTRI SUNGAI PETANI,2021-07-24,2021-08-03,workplace,ended,3
7442,KLUSTER DAH TUPAH INDUSTRI SUNGAI PETANI,2021-07-24,2021-08-03,workplace,ended,1
7443,KLUSTER DAH 2/2 INDUSTRI SUNGAI PETANI,2021-07-24,2021-08-04,workplace,ended,3
7444,KLUSTER DAH 2/2 INDUSTRI SUNGAI PETANI,2021-07-24,2021-08-04,workplace,ended,1
7445,KLUSTER SEKSYEN 17 LEMBAH SIREH,2021-07-24,2021-08-04,education,ended,4
7446,KLUSTER SEKSYEN 17 LEMBAH SIREH,2021-07-24,2021-08-04,education,ended,1
7447,KLUSTER A6 TANJUNG PELEPAS,2021-07-24,2021-08-04,workplace,ended,2
7448,KLUSTER A6 TANJUNG PELEPAS,2021-07-24,2021-08-04,workplace,ended,1
7449,KLUSTER PEKAN JELAWAT,2021-07-24,2021-08-05,workplace,ended,4
7450,KLUSTER PEKAN JELAWAT,2021-07-24,2021-08-05,workplace,ended,1
7451,KLUSTER KUBANG PALAS,2021-07-24,2021-08-08,community,ended,12
7452,KLUSTER KUBANG PALAS,2021-07-24,2021-08-08,community,ended,1
7453,KLUSTER TEMBOK NANAS 2,2021-07-24,2021-08-09,detentionCentre,ended,2
7454,KLUSTER TEMBOK NANAS 2,2021-07-24,2021-08-09,detentionCentre,ended,1
7455,KLUSTER JALAN MAHARANI INTAN,2021-07-24,2021-08-10,workplace,ended,9
7456,KLUSTER JALAN MAHARANI INTAN,2021-07-24,2021-08-10,workplace,ended,1
7457,KLUSTER JALAN PERNIAGAAN JELATANG,2021-07-24,2021-08-10,workplace,ended,5
7458,KLUSTER JALAN PERNIAGAAN JELATANG,2021-07-24,2021-08-10,workplace,ended,1
7459,KLUSTER PADANG LALANG TEMERLOH,2021-07-24,2021-08-12,community,ended,7
7460,KLUSTER PADANG LALANG TEMERLOH,2021-07-24,2021-08-12,community,ended,1
7461,KLUSTER JALAN DANG WANGI,2021-07-24,2021-08-13,detentionCentre,ended,15
7462,KLUSTER JALAN DANG WANGI,2021-07-24,2021-08-13,detentionCentre,ended,1
7463,KLUSTER DPB LIMA TANJUNG PELEPAS,2021-07-24,2021-08-13,workplace,ended,2
7464,KLUSTER DPB LIMA TANJUNG PELEPAS,2021-07-24,2021-08-13,workplace,ended,1
7465,KLUSTER SUNGAI MELUT,2021-07-24,2021-08-19,community,ended,11
7466,KLUSTER SUNGAI MELUT,2021-07-24,2021-08-19,community,ended,1
7467,KLUSTER JALAN MAT SALLEH,2021-07-24,2021-08-20,highRisk,ended,13
7468,KLUSTER JALAN MAT SALLEH,2021-07-24,2021-08-20,highRisk,ended,1
7469,KLUSTER BUKIT BANGKONG,2021-07-24,2021-08-23,community,ended,11
7470,KLUSTER BUKIT BANGKONG,2021-07-24,2021-08-23,community,ended,1
7471,KLUSTER INDUSTRI JALAN BATU MALIM,2021-07-24,2021-08-25,workplace,ended,7
7472,KLUSTER INDUSTRI JALAN BATU MALIM,2021-07-24,2021-08-25,workplace,ended,1
7473,KLUSTER KAMPUNG DATO' ABU BAKAR BAGINDA,2021-07-24,2021-10-10,community,ended,11
7474,KLUSTER KAMPUNG DATO' ABU BAKAR BAGINDA,2021-07-24,2021-10-10,community,ended,1
7475,KLUSTER INDUSTRI MAHKOTA SATU,2021-07-25,2021-07-24,workplace,ended,11
7476,KLUSTER INDUSTRI MAHKOTA SATU,2021-07-25,2021-07-24,workplace,ended,1
7477,KLUSTER INDUSTRI JALAN BEBAS LAPAN,2021-07-25,2021-07-24,workplace,ended,11
7478,KLUSTER INDUSTRI JALAN BEBAS LAPAN,2021-07-25,2021-07-24,workplace,ended,1
7479,KLUSTER KAMPUNG SOGO-SOGO,2021-07-25,2021-07-24,community,ended,13
7480,KLUSTER KAMPUNG SOGO-SOGO,2021-07-25,2021-07-24,community,ended,1
7481,KLUSTER LENGKOK RISHAH DUA,2021-07-25,2021-07-25,workplace,ended,9
7482,KLUSTER LENGKOK RISHAH DUA,2021-07-25,2021-07-25,workplace,ended,1
7483,KLUSTER TAPAK BINA JALAN MERANTI,2021-07-25,2021-07-31,workplace,ended,7
7484,KLUSTER TAPAK BINA JALAN MERANTI,2021-07-25,2021-07-31,workplace,ended,1
7485,KLUSTER GIPAN KOLOMBONG,2021-07-25,2021-08-02,workplace,ended,13
7486,KLUSTER GIPAN KOLOMBONG,2021-07-25,2021-08-02,workplace,ended,1
7487,KLUSTER TAMAN HOCK ANN,2021-07-25,2021-08-03,community,ended,15
7488,KLUSTER TAMAN HOCK ANN,2021-07-25,2021-08-03,community,ended,1
7489,KLUSTER KAMPUNG BUDI TAWANG,2021-07-25,2021-08-03,community,ended,4
7490,KLUSTER KAMPUNG BUDI TAWANG,2021-07-25,2021-08-03,community,ended,1
7491,KLUSTER INDUSTRI TAMAN GUNUNG MAS,2021-07-25,2021-08-04,workplace,ended,6
7492,KLUSTER INDUSTRI TAMAN GUNUNG MAS,2021-07-25,2021-08-04,workplace,ended,1
7493,KLUSTER KAMPUNG TOK SADANG,2021-07-25,2021-08-04,community,ended,4
7494,KLUSTER KAMPUNG TOK SADANG,2021-07-25,2021-08-04,community,ended,1
7495,KLUSTER KAMPUNG KEMAHANG LABOK,2021-07-25,2021-08-05,community,ended,4
7496,KLUSTER KAMPUNG KEMAHANG LABOK,2021-07-25,2021-08-05,community,ended,1
7497,KLUSTER JALAN BESAR SABAK BERNAM,2021-07-25,2021-08-05,workplace,ended,11
7498,KLUSTER JALAN BESAR SABAK BERNAM,2021-07-25,2021-08-05,workplace,ended,1
7499,KLUSTER PADANG TEMBAK INTAN,2021-07-25,2021-08-05,community,ended,9
7500,KLUSTER PADANG TEMBAK INTAN,2021-07-25,2021-08-05,community,ended,1
7501,KLUSTER JALAN DAMAI KAMPUNG CHERANG,2021-07-25,2021-08-06,community,ended,4
7502,KLUSTER JALAN DAMAI KAMPUNG CHERANG,2021-07-25,2021-08-06,community,ended,1
7503,KLUSTER JALAN GAMBIR LIMA,2021-07-25,2021-08-07,workplace,ended,2
7504,KLUSTER JALAN GAMBIR LIMA,2021-07-25,2021-08-07,workplace,ended,1
7505,KLUSTER DAH PINANG INDUSTRI ALOR SETAR,2021-07-25,2021-08-07,workplace,ended,3
7506,KLUSTER DAH PINANG INDUSTRI ALOR SETAR,2021-07-25,2021-08-07,workplace,ended,1
7507,KLUSTER PLO JALAN TENGAR,2021-07-25,2021-08-07,workplace,ended,2
7508,KLUSTER PLO JALAN TENGAR,2021-07-25,2021-08-07,workplace,ended,1
7509,KLUSTER PLO JALAN TIMAH,2021-07-25,2021-08-07,workplace,ended,2
7510,KLUSTER PLO JALAN TIMAH,2021-07-25,2021-08-07,workplace,ended,1
7511,KLUSTER KAMPUNG BUKIT TOK ALI,2021-07-25,2021-08-09,community,ended,4
7512,KLUSTER KAMPUNG BUKIT TOK ALI,2021-07-25,2021-08-09,community,ended,1
7513,KLUSTER TAPAK BINA KLUANG PERDANA,2021-07-25,2021-08-10,workplace,ended,2
7514,KLUSTER TAPAK BINA KLUANG PERDANA,2021-07-25,2021-08-10,workplace,ended,1
7515,KLUSTER JALAN TUNGKU,2021-07-25,2021-08-10,community,ended,13
7516,KLUSTER JALAN TUNGKU,2021-07-25,2021-08-10,community,ended,1
7517,KLUSTER PADANG KUBU,2021-07-25,2021-08-12,workplace,ended,12
7518,KLUSTER PADANG KUBU,2021-07-25,2021-08-12,workplace,ended,1
7519,KLUSTER TAPAK BINA KAMPUNG SEDENG,2021-07-25,2021-08-12,workplace,ended,2
